county,school_type,employment_body,teachers,centroid,year
Baringo        ,Public ,TSC    ,1172,"(0.669252, 35.946465)",12/31/2014 12:00:00 AM
Bomet          ,Public ,TSC    ,1379,"(-0.726295, 35.298598)",12/31/2014 12:00:00 AM
Bungoma        ,Public ,TSC    ,2946,"(0.749285, 34.640461)",12/31/2014 12:00:00 AM
Busia          ,Public ,TSC    ,1182,"(0.387444, 34.193631)",12/31/2014 12:00:00 AM
Elgeyo Marakwet,Public ,TSC    ,1087,"(0.802219, 35.536563)",12/31/2014 12:00:00 AM
Embu           ,Public ,TSC    ,1491,"(-0.603974, 37.626501)",12/31/2014 12:00:00 AM
Garissa        ,Public ,TSC    ,347,"(-0.48891, 40.199279)",12/31/2014 12:00:00 AM
Homa Bay       ,Public ,TSC    ,2069,"(-0.542809, 34.358997)",12/31/2014 12:00:00 AM
Isiolo         ,Public ,TSC    ,180,"(1.010443, 38.542153)",12/31/2014 12:00:00 AM
Kajiado        ,Public ,TSC    ,753,"(-2.121384, 36.908842)",12/31/2014 12:00:00 AM
Kakamega       ,Public ,TSC    ,3558,"(0.403683, 34.744511)",12/31/2014 12:00:00 AM
Kericho        ,Public ,TSC    ,1551,"(-0.295733, 35.31407)",12/31/2014 12:00:00 AM
Kiambu         ,Public ,TSC    ,4288,"(-1.068706, 36.823564)",12/31/2014 12:00:00 AM
Kilifi         ,Public ,TSC    ,1081,"(-3.175732, 39.686688)",12/31/2014 12:00:00 AM
Kirinyaga      ,Public ,TSC    ,1478,"(-0.524746, 37.319868)",12/31/2014 12:00:00 AM
Kisii          ,Public ,TSC    ,3863,"(-0.774604, 34.774723)",12/31/2014 12:00:00 AM
Kisumu         ,Public ,TSC    ,2213,"(-0.169459, 34.835203)",12/31/2014 12:00:00 AM
Kitui          ,Public ,TSC    ,2292,"(-1.491039, 38.406921)",12/31/2014 12:00:00 AM
Kwale          ,Public ,TSC    ,710,"(-4.18315, 39.190412)",12/31/2014 12:00:00 AM
Laikipia       ,Public ,TSC    ,1029,"(0.323604, 36.771728)",12/31/2014 12:00:00 AM
Lamu           ,Public ,TSC    ,210,"(-2.078683, 40.882861)",12/31/2014 12:00:00 AM
Machakos       ,Public ,TSC    ,2849,"(-1.279512, 37.412676)",12/31/2014 12:00:00 AM
Makueni        ,Public ,TSC    ,2765,"(-2.157684, 37.788246)",12/31/2014 12:00:00 AM
Mandera        ,Public ,TSC    ,432,"(3.436469, 40.73881)",12/31/2014 12:00:00 AM
Marsabit       ,Public ,TSC    ,233,"(2.978659, 37.569536)",12/31/2014 12:00:00 AM
Meru           ,Public ,TSC    ,2819,"(0.166779, 37.764037)",12/31/2014 12:00:00 AM
Migori         ,Public ,TSC    ,1429,"(-0.989537, 34.363345)",12/31/2014 12:00:00 AM
Mombasa        ,Public ,TSC    ,648,"(-4.021256, 39.650883)",12/31/2014 12:00:00 AM
Muranga        ,Public ,TSC    ,3455,"(-0.809591, 37.032723)",12/31/2014 12:00:00 AM
Nairobi        ,Public ,TSC    ,2035,"(-1.293413, 36.868189)",12/31/2014 12:00:00 AM
Nakuru         ,Public ,TSC    ,3015,"(-0.463675, 36.078479)",12/31/2014 12:00:00 AM
Nandi          ,Public ,TSC    ,1473,"(0.186689, 35.110488)",12/31/2014 12:00:00 AM
Narok          ,Public ,TSC    ,723,"(-1.25479, 35.576329)",12/31/2014 12:00:00 AM
Nyamira        ,Public ,TSC    ,1786,"(-0.642732, 34.96466)",12/31/2014 12:00:00 AM
Nyandarua      ,Public ,TSC    ,1355,"(-0.322078, 36.482869)",12/31/2014 12:00:00 AM
Nyeri          ,Public ,TSC    ,2501,"(-0.342924, 36.956478)",12/31/2014 12:00:00 AM
Samburu        ,Public ,TSC    ,288,"(1.316855, 37.118394)",12/31/2014 12:00:00 AM
Siaya          ,Public ,TSC    ,1861,"(-0.06213, 34.247642)",12/31/2014 12:00:00 AM
Taita Taveta   ,Public ,TSC    ,707,"(-3.434734, 38.418602)",12/31/2014 12:00:00 AM
Tana River     ,Public ,TSC    ,183,"(-1.526367, 39.417869)",12/31/2014 12:00:00 AM
Tharaka-Nithi  ,Public ,TSC    ,1295,"(-0.207061, 37.870297)",12/31/2014 12:00:00 AM
Trans Nzoia    ,Public ,TSC    ,1340,"(1.050955, 34.95742)",12/31/2014 12:00:00 AM
Turkana        ,Public ,TSC    ,255,"(3.424849, 35.435758)",12/31/2014 12:00:00 AM
Uasin Gishu    ,Public ,TSC    ,1361,"(0.526086, 35.322012)",12/31/2014 12:00:00 AM
Vihiga         ,Public ,TSC    ,1668,"(0.076266, 34.722323)",12/31/2014 12:00:00 AM
Wajir          ,Public ,TSC    ,408,"(1.808138, 40.034986)",12/31/2014 12:00:00 AM
West Pokot     ,Public ,TSC    ,431,"(1.740106, 35.243847)",12/31/2014 12:00:00 AM
Kenya          ,Public ,TSC    ,72194,,12/31/2014 12:00:00 AM
Baringo        ,Public ,SMC    ,608,"(0.669252, 35.946465)",12/31/2014 12:00:00 AM
Bomet          ,Public ,SMC    ,1261,"(-0.726295, 35.298598)",12/31/2014 12:00:00 AM
Bungoma        ,Public ,SMC    ,1745,"(0.749285, 34.640461)",12/31/2014 12:00:00 AM
Busia          ,Public ,SMC    ,903,"(0.387444, 34.193631)",12/31/2014 12:00:00 AM
Elgeyo Marakwet,Public ,SMC    ,454,"(0.802219, 35.536563)",12/31/2014 12:00:00 AM
Embu           ,Public ,SMC    ,678,"(-0.603974, 37.626501)",12/31/2014 12:00:00 AM
Garissa        ,Public ,SMC    ,80,"(-0.48891, 40.199279)",12/31/2014 12:00:00 AM
Homa Bay       ,Public ,SMC    ,1566,"(-0.542809, 34.358997)",12/31/2014 12:00:00 AM
Isiolo         ,Public ,SMC    ,31,"(1.010443, 38.542153)",12/31/2014 12:00:00 AM
Kajiado        ,Public ,SMC    ,210,"(-2.121384, 36.908842)",12/31/2014 12:00:00 AM
Kakamega       ,Public ,SMC    ,2139,"(0.403683, 34.744511)",12/31/2014 12:00:00 AM
Kericho        ,Public ,SMC    ,1119,"(-0.295733, 35.31407)",12/31/2014 12:00:00 AM
Kiambu         ,Public ,SMC    ,882,"(-1.068706, 36.823564)",12/31/2014 12:00:00 AM
Kilifi         ,Public ,SMC    ,893,"(-3.175732, 39.686688)",12/31/2014 12:00:00 AM
Kirinyaga      ,Public ,SMC    ,508,"(-0.524746, 37.319868)",12/31/2014 12:00:00 AM
Kisii          ,Public ,SMC    ,1283,"(-0.774604, 34.774723)",12/31/2014 12:00:00 AM
Kisumu         ,Public ,SMC    ,1062,"(-0.169459, 34.835203)",12/31/2014 12:00:00 AM
Kitui          ,Public ,SMC    ,1544,"(-1.491039, 38.406921)",12/31/2014 12:00:00 AM
Kwale          ,Public ,SMC    ,414,"(-4.18315, 39.190412)",12/31/2014 12:00:00 AM
Laikipia       ,Public ,SMC    ,289,"(0.323604, 36.771728)",12/31/2014 12:00:00 AM
Lamu           ,Public ,SMC    ,85,"(-2.078683, 40.882861)",12/31/2014 12:00:00 AM
Machakos       ,Public ,SMC    ,1405,"(-1.279512, 37.412676)",12/31/2014 12:00:00 AM
Makueni        ,Public ,SMC    ,1449,"(-2.157684, 37.788246)",12/31/2014 12:00:00 AM
Mandera        ,Public ,SMC    ,104,"(3.436469, 40.73881)",12/31/2014 12:00:00 AM
Marsabit       ,Public ,SMC    ,50,"(2.978659, 37.569536)",12/31/2014 12:00:00 AM
Meru           ,Public ,SMC    ,1470,"(0.166779, 37.764037)",12/31/2014 12:00:00 AM
Migori         ,Public ,SMC    ,1375,"(-0.989537, 34.363345)",12/31/2014 12:00:00 AM
Mombasa        ,Public ,SMC    ,175,"(-4.021256, 39.650883)",12/31/2014 12:00:00 AM
Muranga        ,Public ,SMC    ,951,"(-0.809591, 37.032723)",12/31/2014 12:00:00 AM
Nairobi        ,Public ,SMC    ,416,"(-1.293413, 36.868189)",12/31/2014 12:00:00 AM
Nakuru         ,Public ,SMC    ,1387,"(-0.463675, 36.078479)",12/31/2014 12:00:00 AM
Nandi          ,Public ,SMC    ,1170,"(0.186689, 35.110488)",12/31/2014 12:00:00 AM
Narok          ,Public ,SMC    ,472,"(-1.25479, 35.576329)",12/31/2014 12:00:00 AM
Nyamira        ,Public ,SMC    ,668,"(-0.642732, 34.96466)",12/31/2014 12:00:00 AM
Nyandarua      ,Public ,SMC    ,644,"(-0.322078, 36.482869)",12/31/2014 12:00:00 AM
Nyeri          ,Public ,SMC    ,640,"(-0.342924, 36.956478)",12/31/2014 12:00:00 AM
Samburu        ,Public ,SMC    ,42,"(1.316855, 37.118394)",12/31/2014 12:00:00 AM
Siaya          ,Public ,SMC    ,1196,"(-0.06213, 34.247642)",12/31/2014 12:00:00 AM
Taita Taveta   ,Public ,SMC    ,300,"(-3.434734, 38.418602)",12/31/2014 12:00:00 AM
Tana River     ,Public ,SMC    ,75,"(-1.526367, 39.417869)",12/31/2014 12:00:00 AM
Tharaka-Nithi  ,Public ,SMC    ,601,"(-0.207061, 37.870297)",12/31/2014 12:00:00 AM
Trans Nzoia    ,Public ,SMC    ,971,"(1.050955, 34.95742)",12/31/2014 12:00:00 AM
Turkana        ,Public ,SMC    ,144,"(3.424849, 35.435758)",12/31/2014 12:00:00 AM
Uasin Gishu    ,Public ,SMC    ,766,"(0.526086, 35.322012)",12/31/2014 12:00:00 AM
Vihiga         ,Public ,SMC    ,863,"(0.076266, 34.722323)",12/31/2014 12:00:00 AM
Wajir          ,Public ,SMC    ,68,"(1.808138, 40.034986)",12/31/2014 12:00:00 AM
West Pokot     ,Public ,SMC    ,368,"(1.740106, 35.243847)",12/31/2014 12:00:00 AM
Kenya          ,Public ,SMC    ,35524,,12/31/2014 12:00:00 AM
Baringo        ,Private,Private,135,"(0.669252, 35.946465)",12/31/2014 12:00:00 AM
Bomet          ,Private,Private,69,"(-0.726295, 35.298598)",12/31/2014 12:00:00 AM
Bungoma        ,Private,Private,122,"(0.749285, 34.640461)",12/31/2014 12:00:00 AM
Busia          ,Private,Private,62,"(0.387444, 34.193631)",12/31/2014 12:00:00 AM
Elgeyo Marakwet,Private,Private,16,"(0.802219, 35.536563)",12/31/2014 12:00:00 AM
Embu           ,Private,Private,124,"(-0.603974, 37.626501)",12/31/2014 12:00:00 AM
Garissa        ,Private,Private,346,"(-0.48891, 40.199279)",12/31/2014 12:00:00 AM
Homa Bay       ,Private,Private,171,"(-0.542809, 34.358997)",12/31/2014 12:00:00 AM
Isiolo         ,Private,Private,68,"(1.010443, 38.542153)",12/31/2014 12:00:00 AM
Kajiado        ,Private,Private,558,"(-2.121384, 36.908842)",12/31/2014 12:00:00 AM
Kakamega       ,Private,Private,286,"(0.403683, 34.744511)",12/31/2014 12:00:00 AM
Kericho        ,Private,Private,110,"(-0.295733, 35.31407)",12/31/2014 12:00:00 AM
Kiambu         ,Private,Private,870,"(-1.068706, 36.823564)",12/31/2014 12:00:00 AM
Kilifi         ,Private,Private,439,"(-3.175732, 39.686688)",12/31/2014 12:00:00 AM
Kirinyaga      ,Private,Private,76,"(-0.524746, 37.319868)",12/31/2014 12:00:00 AM
Kisii          ,Private,Private,259,"(-0.774604, 34.774723)",12/31/2014 12:00:00 AM
Kisumu         ,Private,Private,220,"(-0.169459, 34.835203)",12/31/2014 12:00:00 AM
Kitui          ,Private,Private,81,"(-1.491039, 38.406921)",12/31/2014 12:00:00 AM
Kwale          ,Private,Private,49,"(-4.18315, 39.190412)",12/31/2014 12:00:00 AM
Laikipia       ,Private,Private,176,"(0.323604, 36.771728)",12/31/2014 12:00:00 AM
Lamu           ,Private,Private,29,"(-2.078683, 40.882861)",12/31/2014 12:00:00 AM
Machakos       ,Private,Private,582,"(-1.279512, 37.412676)",12/31/2014 12:00:00 AM
Makueni        ,Private,Private,193,"(-2.157684, 37.788246)",12/31/2014 12:00:00 AM
Mandera        ,Private,Private,50,"(3.436469, 40.73881)",12/31/2014 12:00:00 AM
Marsabit       ,Private,Private,36,"(2.978659, 37.569536)",12/31/2014 12:00:00 AM
Meru           ,Private,Private,229,"(0.166779, 37.764037)",12/31/2014 12:00:00 AM
Migori         ,Private,Private,196,"(-0.989537, 34.363345)",12/31/2014 12:00:00 AM
Mombasa        ,Private,Private,770,"(-4.021256, 39.650883)",12/31/2014 12:00:00 AM
Muranga        ,Private,Private,261,"(-0.809591, 37.032723)",12/31/2014 12:00:00 AM
Nairobi        ,Private,Private,1641,"(-1.293413, 36.868189)",12/31/2014 12:00:00 AM
Nakuru         ,Private,Private,1110,"(-0.463675, 36.078479)",12/31/2014 12:00:00 AM
Nandi          ,Private,Private,87,"(0.186689, 35.110488)",12/31/2014 12:00:00 AM
Narok          ,Private,Private,65,"(-1.25479, 35.576329)",12/31/2014 12:00:00 AM
Nyamira        ,Private,Private,52,"(-0.642732, 34.96466)",12/31/2014 12:00:00 AM
Nyandarua      ,Private,Private,412,"(-0.322078, 36.482869)",12/31/2014 12:00:00 AM
Nyeri          ,Private,Private,233,"(-0.342924, 36.956478)",12/31/2014 12:00:00 AM
Samburu        ,Private,Private,38,"(1.316855, 37.118394)",12/31/2014 12:00:00 AM
Siaya          ,Private,Private,39,"(-0.06213, 34.247642)",12/31/2014 12:00:00 AM
Taita Taveta   ,Private,Private,48,"(-3.434734, 38.418602)",12/31/2014 12:00:00 AM
Tana River     ,Private,Private,14,"(-1.526367, 39.417869)",12/31/2014 12:00:00 AM
Tharaka-Nithi  ,Private,Private,86,"(-0.207061, 37.870297)",12/31/2014 12:00:00 AM
Trans Nzoia    ,Private,Private,89,"(1.050955, 34.95742)",12/31/2014 12:00:00 AM
Turkana        ,Private,Private,96,"(3.424849, 35.435758)",12/31/2014 12:00:00 AM
Uasin Gishu    ,Private,Private,225,"(0.526086, 35.322012)",12/31/2014 12:00:00 AM
Vihiga         ,Private,Private,23,"(0.076266, 34.722323)",12/31/2014 12:00:00 AM
Wajir          ,Private,Private,45,"(1.808138, 40.034986)",12/31/2014 12:00:00 AM
West Pokot     ,Private,Private,4,"(1.740106, 35.243847)",12/31/2014 12:00:00 AM
Kenya          ,Private,Private,10890,,12/31/2014 12:00:00 AM
Baringo        ,Private,TSC    ,0,"(0.669252, 35.946465)",12/31/2014 12:00:00 AM
Bomet          ,Private,TSC    ,0,"(-0.726295, 35.298598)",12/31/2014 12:00:00 AM
Bungoma        ,Private,TSC    ,0,"(0.749285, 34.640461)",12/31/2014 12:00:00 AM
Busia          ,Private,TSC    ,0,"(0.387444, 34.193631)",12/31/2014 12:00:00 AM
Elgeyo Marakwet,Private,TSC    ,0,"(0.802219, 35.536563)",12/31/2014 12:00:00 AM
Embu           ,Private,TSC    ,0,"(-0.603974, 37.626501)",12/31/2014 12:00:00 AM
Garissa        ,Private,TSC    ,0,"(-0.48891, 40.199279)",12/31/2014 12:00:00 AM
Homa Bay       ,Private,TSC    ,0,"(-0.542809, 34.358997)",12/31/2014 12:00:00 AM
Isiolo         ,Private,TSC    ,0,"(1.010443, 38.542153)",12/31/2014 12:00:00 AM
Kajiado        ,Private,TSC    ,0,"(-2.121384, 36.908842)",12/31/2014 12:00:00 AM
Kakamega       ,Private,TSC    ,0,"(0.403683, 34.744511)",12/31/2014 12:00:00 AM
Kericho        ,Private,TSC    ,0,"(-0.295733, 35.31407)",12/31/2014 12:00:00 AM
Kiambu         ,Private,TSC    ,0,"(-1.068706, 36.823564)",12/31/2014 12:00:00 AM
Kilifi         ,Private,TSC    ,0,"(-3.175732, 39.686688)",12/31/2014 12:00:00 AM
Kirinyaga      ,Private,TSC    ,0,"(-0.524746, 37.319868)",12/31/2014 12:00:00 AM
Kisii          ,Private,TSC    ,0,"(-0.774604, 34.774723)",12/31/2014 12:00:00 AM
Kisumu         ,Private,TSC    ,0,"(-0.169459, 34.835203)",12/31/2014 12:00:00 AM
Kitui          ,Private,TSC    ,0,"(-1.491039, 38.406921)",12/31/2014 12:00:00 AM
Kwale          ,Private,TSC    ,0,"(-4.18315, 39.190412)",12/31/2014 12:00:00 AM
Laikipia       ,Private,TSC    ,0,"(0.323604, 36.771728)",12/31/2014 12:00:00 AM
Lamu           ,Private,TSC    ,0,"(-2.078683, 40.882861)",12/31/2014 12:00:00 AM
Machakos       ,Private,TSC    ,0,"(-1.279512, 37.412676)",12/31/2014 12:00:00 AM
Makueni        ,Private,TSC    ,0,"(-2.157684, 37.788246)",12/31/2014 12:00:00 AM
Mandera        ,Private,TSC    ,0,"(3.436469, 40.73881)",12/31/2014 12:00:00 AM
Marsabit       ,Private,TSC    ,0,"(2.978659, 37.569536)",12/31/2014 12:00:00 AM
Meru           ,Private,TSC    ,0,"(0.166779, 37.764037)",12/31/2014 12:00:00 AM
Migori         ,Private,TSC    ,0,"(-0.989537, 34.363345)",12/31/2014 12:00:00 AM
Mombasa        ,Private,TSC    ,0,"(-4.021256, 39.650883)",12/31/2014 12:00:00 AM
Muranga        ,Private,TSC    ,0,"(-0.809591, 37.032723)",12/31/2014 12:00:00 AM
Nairobi        ,Private,TSC    ,0,"(-1.293413, 36.868189)",12/31/2014 12:00:00 AM
Nakuru         ,Private,TSC    ,0,"(-0.463675, 36.078479)",12/31/2014 12:00:00 AM
Nandi          ,Private,TSC    ,0,"(0.186689, 35.110488)",12/31/2014 12:00:00 AM
Narok          ,Private,TSC    ,0,"(-1.25479, 35.576329)",12/31/2014 12:00:00 AM
Nyamira        ,Private,TSC    ,0,"(-0.642732, 34.96466)",12/31/2014 12:00:00 AM
Nyandarua      ,Private,TSC    ,0,"(-0.322078, 36.482869)",12/31/2014 12:00:00 AM
Nyeri          ,Private,TSC    ,0,"(-0.342924, 36.956478)",12/31/2014 12:00:00 AM
Samburu        ,Private,TSC    ,0,"(1.316855, 37.118394)",12/31/2014 12:00:00 AM
Siaya          ,Private,TSC    ,0,"(-0.06213, 34.247642)",12/31/2014 12:00:00 AM
Taita Taveta   ,Private,TSC    ,0,"(-3.434734, 38.418602)",12/31/2014 12:00:00 AM
Tana River     ,Private,TSC    ,0,"(-1.526367, 39.417869)",12/31/2014 12:00:00 AM
Tharaka-Nithi  ,Private,TSC    ,0,"(-0.207061, 37.870297)",12/31/2014 12:00:00 AM
Trans Nzoia    ,Private,TSC    ,0,"(1.050955, 34.95742)",12/31/2014 12:00:00 AM
Turkana        ,Private,TSC    ,0,"(3.424849, 35.435758)",12/31/2014 12:00:00 AM
Uasin Gishu    ,Private,TSC    ,0,"(0.526086, 35.322012)",12/31/2014 12:00:00 AM
Vihiga         ,Private,TSC    ,0,"(0.076266, 34.722323)",12/31/2014 12:00:00 AM
Wajir          ,Private,TSC    ,0,"(1.808138, 40.034986)",12/31/2014 12:00:00 AM
West Pokot     ,Private,TSC    ,0,"(1.740106, 35.243847)",12/31/2014 12:00:00 AM
Kenya          ,Private,TSC    ,0,,12/31/2014 12:00:00 AM